The_Farm_F2F21 ,  39077444-79E2-4AE0-A9F7-3EF60DAF2F21 , The Farm , 438649.0 , 518171.0
The_Poultry_Farm_5D46C ,  642EA7F7-6A90-4CA8-A5EF-F6069175D46C , The Poultry Farm , 431560.0 , 561959.0
The_Willows_Farm_614F4 ,  7CC886F9-A6BA-440E-83FC-D417046614F4 , The Willows Farm , 431502.0 , 536091.0
Thistleyhaugh_Farm_Cottage_28085 ,  75EF109A-3167-40CF-8BEC-3EB032B28085 , Thistleyhaugh Farm Cottage , 413155.0 , 598254.0
Thornfields_Close_Farm_18F60 ,  1320494B-5BA8-48B9-A687-7723A9818F60 , Thornfields Close Farm , 433786.0 , 512958.0
Thornley_Moor_Farm_811B3 ,  AC2998B9-B493-48A8-873C-7F9A00D811B3 , Thornley Moor Farm , 435103.0 , 538184.0
Three_Lane_Ends_Farm_E778C ,  41CBAF51-8D3A-4375-A3AC-1663CD6E778C , Three Lane Ends Farm , 418543.0 , 529434.0
Tileshed_Manor_Farm_C3EAE ,  3CF1561B-2988-40AD-A8B7-522F583C3EAE , Tileshed Manor Farm , 436734.0 , 562043.0
Tithe_Barn_Farm_3E38E ,  7CCB944D-419A-4ECD-B731-38EB4543E38E , Tithe Barn Farm , 440935.0 , 507058.0
Tocketts_Bridge_Farm_B124F ,  617DE3DC-8762-475E-ACFB-4141A2EB124F , Tocketts Bridge Farm , 461784.0 , 517690.0
Town_End_Farm_BCBBB ,  CA36842E-1E1F-4396-80F7-5EB81F0BCBBB , Town End Farm , 434935.0 , 559577.0
Tunstall_Farm_0F809 ,  C48F93DD-0A47-41AB-92A0-88F862B0F809 , Tunstall Farm , 448430.0 , 531637.0
Turtle_Hill_Farm_FEE52 ,  C410DC8A-0DF4-42A0-B0BC-CA7ED98FEE52 , Turtle Hill Farm , 448923.0 , 503313.0
Underhill_Farm_C1F41 ,  99C9115F-105F-47D6-BDB4-628BDE9C1F41 , Underhill Farm , 486967.0 , 506492.0
Underhill_Farm_DC8D7 ,  795F7FC4-D92D-4378-ADAF-476FBE7DC8D7 , Underhill Farm , 451295.0 , 503388.0
Usworth_House_Farm_67D98 ,  9F9C79DD-4710-46DB-BCDA-E89038967D98 , Usworth House Farm , 428999.0 , 558895.0
Wallhouses_South_Farm_Bungalow_A88A5 ,  75BC4A0F-EBDD-48E1-ACD2-9A694A0A88A5 , Wallhouses South Farm Bungalow , 404034.0 , 568295.0
Warnbeck_Farm_E000C ,  55806328-5D99-4479-BDB4-82CE8ECE000C , Warnbeck Farm , 485754.0 , 510456.0
Wayside_Farm_D8BAF ,  42D55F74-74E9-4A61-A969-17AE5F8D8BAF , Wayside Farm , 457986.0 , 504973.0
Wear_View_Farm_F1128 ,  AAEACBB6-9BD8-42A7-9161-8238291F1128 , Wear View Farm , 412710.0 , 529648.0
Wellfield_Farm_F6BBA ,  D5025208-51D3-40CB-B048-1DBD324F6BBA , Wellfield Farm , 497773.0 , 500319.0
West_Batter_Law_Farm_2C4CE ,  BC69722C-661A-4C82-8349-A112B852C4CE , West Batter Law Farm , 440658.0 , 545436.0
West_Brunton_Farm_D54F5 ,  72BED3F7-8AA2-40F5-908B-A9F441FD54F5 , West Brunton Farm , 421846.0 , 570903.0
West_Farm_FED90 ,  47E5A7D7-AB4F-419C-AD69-4B23A10FED90 , West Farm , 415380.0 , 573398.0
West_Holling_Carr_Farm_4AD59 ,  938F3ED5-248E-457B-B399-EEE25244AD59 , West Holling Carr Farm , 439297.0 , 533127.0
West_House_Farm_DE077 ,  D58DD134-4517-4D94-A39C-5444CDBDE077 , West House Farm , 434676.0 , 532804.0
West_Layton_Farm_D2DF6 ,  DBD5FC59-4609-43D3-92E6-E7B7907D2DF6 , West Layton Farm , 414690.0 , 509871.0
West_Newlands_Farm_E1FF1 ,  BE00BEAD-0AF5-4BCA-8836-A527246E1FF1 , West Newlands Farm , 442056.0 , 523351.0
West_Woodburn_Farm_Cottage_375BF ,  F47B785A-699E-4022-9ADE-B14BB03375BF , West Woodburn Farm Cottage , 439770.0 , 535920.0
Whinney_Hill_Farm_Cottages_7BDB4 ,  8B468827-575E-4D31-ACCA-35C3F787BDB4 , Whinney Hill Farm Cottages , 425488.0 , 584628.0
Whitcliffe_Farm_D39C8 ,  34C9163B-BCEA-4F18-AE9F-F0B1C09D39C8 , Whitcliffe Farm , 415188.0 , 501497.0
Whitehall_Farm_25B40 ,  283EACA3-A089-4C16-8CCD-07D7A0725B40 , Whitehall Farm , 424657.0 , 576535.0
Whitley_Hill_Farm_70B9B ,  DC77B38F-486C-4E32-90F8-49F65D170B9B , Whitley Hill Farm , 459339.0 , 506392.0
Whitwell_East_House_Farm_E1DB5 ,  55223096-C322-4903-ABC4-2DC907AE1DB5 , Whitwell East House Farm , 431627.0 , 540108.0
Willowbeds_Farm_6932A ,  6B3FD03B-98A4-4E84-9E58-085158A6932A , Willowbeds Farm , 425009.0 , 558371.0
Wilmire_Farm_3E0BE ,  0EBC4B91-8D28-4CC0-B049-5B65E253E0BE , Wilmire Farm , 443758.0 , 524937.0
Woodcroft_Farm_AAEBE ,  63E44B0E-C164-49B2-A8F4-49923FCAAEBE , Woodcroft Farm , 400918.0 , 537290.0
Wooden_Willy's_Farm_D4C20 ,  42F36E4A-217A-4BB7-8AA3-C6B416ED4C20 , Wooden Willy's Farm , 429820.0 , 574705.0
Woodlands_Hall_Farm_C47DB ,  38B58269-977B-45D3-B2D9-C8A579FC47DB , Woodlands Hall Farm , 412372.0 , 547018.0
Woodlands_Park_Farm_2913E ,  DF7CD07A-F10A-4E01-ACF7-F0458D82913E , Woodlands Park Farm , 411722.0 , 546994.0
Woodside_Farm_31B32 ,  83F9E6E6-7B30-4D3D-B91B-FBB65C631B32 , Woodside Farm , 438194.0 , 541992.0
Woodside_Farm_46A50 ,  78BEF536-8CBF-4E3C-B1C2-24BEC1446A50 , Woodside Farm , 414543.0 , 573010.0
Woodside_Farm_30404 ,  9178D960-EEC3-4E5D-AA77-313660D30404 , Woodside Farm , 438558.0 , 521756.0
Woodside_Farm_F8D53 ,  19881481-5213-4AD5-9CA5-8FBA0D8F8D53 , Woodside Farm , 401307.0 , 522874.0
Worsall_Grange_Farm_18E3D ,  3F1E8D6E-E6F4-4CBA-B474-B76BE9F18E3D , Worsall Grange Farm , 439901.0 , 509474.0
Abbey_Hill_Farm_803AA ,  8A48C68D-204F-4B63-AE87-74E95AC803AA , Abbey Hill Farm , 447183.0 , 531909.0
Acre_Farm_2D6D3 ,  381B332F-0658-45A1-99E6-A838A092D6D3 , Acre Farm , 417499.0 , 505333.0
Bankfoot_Farm_BAC78 ,  A33595FF-4CB2-4113-B86A-650EA56BAC78 , Bankfoot Farm , 419801.0 , 525954.0
Barcus_Close_Farm_6B85A ,  16E7FD11-D115-47A7-91BB-EC719326B85A , Barcus Close Farm , 418751.0 , 556105.0
Bark_Farm_B65DA ,  D2EF8A5E-6914-4C44-A1BC-A7C3032B65DA , Bark Farm , 420987.0 , 500289.0
Barnacres_Farm_65EF8 ,  0F74C26C-716E-4A4D-989A-C883D0965EF8 , Barnacres Farm , 420508.0 , 502924.0
Bays_Leap_Farm_9295A ,  C3E0C2F3-6949-42B0-8646-168ADCD9295A , Bays Leap Farm , 413392.0 , 567218.0
Beacon_Farm_F677D ,  1E788A43-76BC-449F-BE5F-6E3A6FBF677D , Beacon Farm , 415120.0 , 502284.0
Beacon_Hill_Farm_0108A ,  C5FCE5D3-403B-490E-9858-83966510108A , Beacon Hill Farm , 443630.0 , 532307.0
Beck_Hill_Farm_CAF0B ,  7A68888C-0A32-4902-A6DD-77A5AB8CAF0B , Beck Hill Farm , 426633.0 , 501643.0
Benridge_Farm_9C353 ,  5ABBAC35-1918-4443-9C0D-A69486F9C353 , Benridge Farm , 446667.0 , 537607.0
Betty's_Farm_E0B14 ,  ED0FF808-E09C-45B5-9F5D-D4B91F8E0B14 , Betty's Farm , 440541.0 , 518929.0
Binchester_Hall_Farm_4C2E3 ,  4CF9BC17-522D-4AC9-8FE1-FB5888F4C2E3 , Binchester Hall Farm , 420818.0 , 531398.0
Birchwood_Game_Farm_B193C ,  D9463BD2-1281-4022-AA30-7E188C8B193C , Birchwood Game Farm , 418572.0 , 556651.0
Blackhill_Farm_87231 ,  F002C8D4-5F49-443E-AD2D-769EE0B87231 , Blackhill Farm , 417137.0 , 507321.0
Bluestone_Park_Farm_7249D ,  FDA58652-7615-43C7-8E5A-AEDD87E7249D , Bluestone Park Farm , 405523.0 , 519688.0
Boggle_Beck_Farm_1F7D2 ,  D0BED814-37DB-46E8-AEFE-1FCE14D1F7D2 , Boggle Beck Farm , 434140.0 , 525140.0
Bowbank_House_Farm_FA8CC ,  8B41B920-AF1F-4FA6-B911-971CC54FA8CC , Bowbank House Farm , 427072.0 , 531613.0
Bow_Meadows_Poultry_Farm_45E81 ,  A5D146C9-7121-4F54-BE55-141EC9645E81 , Bow Meadows Poultry Farm , 437062.0 , 560378.0
Bradley_Farm_76601 ,  EC5B1EE6-B794-4804-B0F2-A93629476601 , Bradley Farm , 443767.0 , 525257.0
Brakes_Farm_Cottage_1F045 ,  AD1BD4A4-3386-48C3-B38F-B0ED5FE1F045 , Brakes Farm Cottage , 433918.0 , 528503.0
Brambles_Farm_F0C9E ,  6A920022-D6A6-4CD4-BCEA-E74FADDF0C9E , Brambles Farm , 452495.0 , 519413.0
Brass_Castle_Farm_0FAED ,  4F4AF0A1-7D90-4FD1-B6CA-3EA58D40FAED , Brass Castle Farm , 433593.0 , 512016.0
Bridge_End_Farm_58DAE ,  B6B5D8D1-5C06-4CE5-8640-F1F300E58DAE , Bridge End Farm , 440268.0 , 524576.0
Bridge_Farm_F96B4 ,  D965ACF8-1E32-4E50-9076-3D003D9F96B4 , Bridge Farm , 494838.0 , 502286.0
Bridgefield_Farm_6C6F5 ,  98B4B1C5-94AD-4934-987C-8C245E96C6F5 , Bridgefield Farm , 440661.0 , 535596.0
Bridleway_Farm_25FE7 ,  0E7A9A38-D616-44A9-BDB0-2E01E3425FE7 , Bridleway Farm , 451525.0 , 509588.0
Brierton_Heights_Farm_0B8B1 ,  05EB8645-565B-4486-B6FC-7380FEF0B8B1 , Brierton Heights Farm , 446317.0 , 530292.0
Broad_Oak_Farm_124FF ,  A67B66BE-C8C7-473E-9DF6-D4E67A3124FF , Broad Oak Farm , 432416.0 , 531400.0
Brookfield_Farm_933DE ,  A5DE3BF8-A35A-4B87-84B3-D8DEA23933DE , Brookfield Farm , 443515.0 , 522915.0
Brookfields_Farm_6C24B ,  DC8C2CFC-6384-4714-9D2D-AB13E8D6C24B , Brookfields Farm , 436924.0 , 507055.0
